,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
365,Arunachal Pradesh,2023,4,Peer-to-peer payments,6678381,18554712209
366,Arunachal Pradesh,2023,4,Merchant payments,6435278,5043099494
367,Arunachal Pradesh,2023,4,Recharge & bill payments,1491471,515181105
368,Arunachal Pradesh,2023,4,Financial Services,5573,11079378
369,Arunachal Pradesh,2023,4,Others,7039,4727608
370,Arunachal Pradesh,2024,1,Merchant payments,7491171,5669482843
371,Arunachal Pradesh,2024,1,Peer-to-peer payments,7238315,19793142980
372,Arunachal Pradesh,2024,1,Recharge & bill payments,1664938,568014875
373,Arunachal Pradesh,2024,1,Financial Services,6408,13072238
374,Arunachal Pradesh,2024,1,Others,5582,3331540
375,Assam,2018,1,Recharge & bill payments,632092,93491181
376,Assam,2018,1,Peer-to-peer payments,318025,993525196
377,Assam,2018,1,Merchant payments,40482,34501623
378,Assam,2018,1,Financial Services,18172,4936862
379,Assam,2018,1,Others,48110,31349594
380,Assam,2018,2,Recharge & bill payments,984160,174427478
381,Assam,2018,2,Peer-to-peer payments,530781,2064314053
382,Assam,2018,2,Merchant payments,79307,73366345
383,Assam,2018,2,Financial Services,22773,7051505
384,Assam,2018,2,Others,46852,31425755
385,Assam,2018,3,Recharge & bill payments,1275136,254569069
386,Assam,2018,3,Peer-to-peer payments,843571,3424136710
387,Assam,2018,3,Merchant payments,159532,96783839
388,Assam,2018,3,Financial Services,22677,4741124
389,Assam,2018,3,Others,50935,30904248
390,Assam,2018,4,Recharge & bill payments,1703488,317661277
391,Assam,2018,4,Peer-to-peer payments,1279089,5284776455
392,Assam,2018,4,Merchant payments,667293,240563395
393,Assam,2018,4,Financial Services,28035,6331913
394,Assam,2018,4,Others,56267,38689819
395,Assam,2019,1,Recharge & bill payments,1993220,400281678
396,Assam,2019,1,Peer-to-peer payments,1976310,7291433301
397,Assam,2019,1,Merchant payments,494871,266644646
398,Assam,2019,1,Financial Services,20162,4612454
399,Assam,2019,1,Others,48442,39127458
400,Assam,2019,2,Recharge & bill payments,2512932,539315773
401,Assam,2019,2,Peer-to-peer payments,2293770,10035232821
402,Assam,2019,2,Merchant payments,573646,326844710
403,Assam,2019,2,Financial Services,13654,4037222
404,Assam,2019,2,Others,60927,49538663
405,Assam,2019,3,Peer-to-peer payments,2713539,11835800855
406,Assam,2019,3,Recharge & bill payments,2645302,639885373
407,Assam,2019,3,Merchant payments,513728,421380275
408,Assam,2019,3,Financial Services,8606,6403456
409,Assam,2019,3,Others,61396,46973661
410,Assam,2019,4,Peer-to-peer payments,3222143,14083346879
411,Assam,2019,4,Recharge & bill payments,2937800,704118874
412,Assam,2019,4,Merchant payments,544053,456318130
413,Assam,2019,4,Financial Services,9621,3492255
414,Assam,2019,4,Others,46893,34707757
415,Assam,2020,1,Peer-to-peer payments,4058740,18977446152
416,Assam,2020,1,Recharge & bill payments,3897975,971722606
417,Assam,2020,1,Merchant payments,792646,675423853
418,Assam,2020,1,Financial Services,10173,7054326
419,Assam,2020,1,Others,49326,36781411
420,Assam,2020,2,Recharge & bill payments,6045321,1612522829
421,Assam,2020,2,Peer-to-peer payments,3648386,17358374071
422,Assam,2020,2,Merchant payments,742400,749018053
423,Assam,2020,2,Financial Services,19814,18130005
424,Assam,2020,2,Others,49278,28255168
425,Assam,2020,3,Peer-to-peer payments,5637893,26646565777
426,Assam,2020,3,Recharge & bill payments,5292154,1627282416
427,Assam,2020,3,Merchant payments,1383230,1492484153
428,Assam,2020,3,Financial Services,24954,28452966
429,Assam,2020,3,Others,59480,36605947
430,Assam,2020,4,Peer-to-peer payments,7538478,36013292451
431,Assam,2020,4,Recharge & bill payments,5383505,1662189124
432,Assam,2020,4,Merchant payments,2392184,2466913306
