,State,Year,Quarter,district,Transaction_count,Transaction_amount
379,Andhra Pradesh,2023,4,prakasam ,89721677,1.75E+11
380,Andhra Pradesh,2023,4,anantapur ,113698752,2.03E+11
381,Andhra Pradesh,2023,4,ysr ,83729195,1.77E+11
382,Andhra Pradesh,2023,4,west godavari ,114825704,2.09E+11
383,Andhra Pradesh,2023,4,kurnool ,103816175,1.91E+11
384,Andhra Pradesh,2023,4,chittoor ,163521593,2.74E+11
385,Andhra Pradesh,2023,4,guntur ,160724947,2.82E+11
386,Andhra Pradesh,2023,4,krishna ,173309415,2.98E+11
387,Andhra Pradesh,2024,1,east godavari ,179489444,3.06E+11
388,Andhra Pradesh,2024,1,srikakulam ,66267698,1.19E+11
389,Andhra Pradesh,2024,1,spsr nellore ,108549115,1.91E+11
390,Andhra Pradesh,2024,1,vizianagaram ,61170983,1.06E+11
391,Andhra Pradesh,2024,1,visakhapatnam ,238418938,3.63E+11
392,Andhra Pradesh,2024,1,prakasam ,99550457,1.87E+11
393,Andhra Pradesh,2024,1,anantapur ,125240418,2.13E+11
394,Andhra Pradesh,2024,1,ysr ,94211451,1.90E+11
395,Andhra Pradesh,2024,1,west godavari ,127602250,2.29E+11
396,Andhra Pradesh,2024,1,kurnool ,115036343,2.05E+11
397,Andhra Pradesh,2024,1,chittoor ,179903083,2.90E+11
398,Andhra Pradesh,2024,1,guntur ,173636233,2.97E+11
399,Andhra Pradesh,2024,1,krishna ,186352072,3.17E+11
400,Arunachal Pradesh,2018,1,lower dibang valley ,1356,1076237
401,Arunachal Pradesh,2018,1,lower subansiri ,1477,3650728
402,Arunachal Pradesh,2018,1,longding ,2321,4361532
403,Arunachal Pradesh,2018,1,west siang ,1887,4796676
404,Arunachal Pradesh,2018,1,kamle ,14,7971
405,Arunachal Pradesh,2018,1,upper siang ,126,186611
406,Arunachal Pradesh,2018,1,tirap ,945,1064265
407,Arunachal Pradesh,2018,1,papum pare ,14224,32555848
408,Arunachal Pradesh,2018,1,kurung kumey ,84,99417
409,Arunachal Pradesh,2018,1,siang ,252,339472
410,Arunachal Pradesh,2018,1,lower siang ,1292,2337961
411,Arunachal Pradesh,2018,1,kra daadi ,207,495375
412,Arunachal Pradesh,2018,1,changlang ,3195,5380749
413,Arunachal Pradesh,2018,1,pakke kessang ,9,9131
414,Arunachal Pradesh,2018,1,dibang valley ,2,170
415,Arunachal Pradesh,2018,1,west kameng ,5787,9540633
416,Arunachal Pradesh,2018,1,east siang ,3286,5533620
