,State,Year,Quarter,district,registeredUsers,appOpens
407,Arunachal Pradesh,2018,1,shi yomi ,49,0
408,Arunachal Pradesh,2018,1,east kameng ,222,0
409,Arunachal Pradesh,2018,1,lohit ,1207,0
410,Arunachal Pradesh,2018,1,lepa rada ,210,0
411,Arunachal Pradesh,2018,1,lower dibang valley ,601,0
412,Arunachal Pradesh,2018,1,longding ,256,0
413,Arunachal Pradesh,2018,1,west siang ,846,0
414,Arunachal Pradesh,2018,1,kamle ,22,0
415,Arunachal Pradesh,2018,1,upper siang ,301,0
416,Arunachal Pradesh,2018,1,kurung kumey ,97,0
417,Arunachal Pradesh,2018,1,siang ,192,0
418,Arunachal Pradesh,2018,1,kra daadi ,88,0
419,Arunachal Pradesh,2018,1,changlang ,1208,0
420,Arunachal Pradesh,2018,1,pakke kessang ,39,0
421,Arunachal Pradesh,2018,1,east siang ,1803,0
422,Arunachal Pradesh,2018,1,upper subansiri ,572,0
423,Arunachal Pradesh,2018,1,tawang ,1525,0
424,Arunachal Pradesh,2018,1,namsai ,737,0
425,Arunachal Pradesh,2018,2,lower subansiri ,724,0
426,Arunachal Pradesh,2018,2,tirap ,856,0
427,Arunachal Pradesh,2018,2,papum pare ,11418,0
428,Arunachal Pradesh,2018,2,anjaw ,410,0
429,Arunachal Pradesh,2018,2,lower siang ,494,0
430,Arunachal Pradesh,2018,2,dibang valley ,112,0
431,Arunachal Pradesh,2018,2,west kameng ,3442,0
432,Arunachal Pradesh,2018,2,shi yomi ,80,0
433,Arunachal Pradesh,2018,2,east kameng ,343,0
434,Arunachal Pradesh,2018,2,lohit ,1898,0
435,Arunachal Pradesh,2018,2,lepa rada ,318,0
436,Arunachal Pradesh,2018,2,lower dibang valley ,893,0
437,Arunachal Pradesh,2018,2,longding ,412,0
438,Arunachal Pradesh,2018,2,west siang ,1224,0
439,Arunachal Pradesh,2018,2,kamle ,37,0
440,Arunachal Pradesh,2018,2,upper siang ,481,0
441,Arunachal Pradesh,2018,2,kurung kumey ,153,0
442,Arunachal Pradesh,2018,2,siang ,293,0
443,Arunachal Pradesh,2018,2,kra daadi ,144,0
444,Arunachal Pradesh,2018,2,changlang ,2014,0
445,Arunachal Pradesh,2018,2,pakke kessang ,66,0
446,Arunachal Pradesh,2018,2,east siang ,2646,0
447,Arunachal Pradesh,2018,2,upper subansiri ,883,0
448,Arunachal Pradesh,2018,2,tawang ,2266,0
449,Arunachal Pradesh,2018,2,namsai ,1276,0
450,Arunachal Pradesh,2018,3,lower subansiri ,1033,0
451,Arunachal Pradesh,2018,3,tirap ,1226,0
452,Arunachal Pradesh,2018,3,papum pare ,16009,0
453,Arunachal Pradesh,2018,3,anjaw ,542,0
454,Arunachal Pradesh,2018,3,lower siang ,717,0
